customer_sentiment,customer_tier,issue_complexity,channel_type,agent_experience,agent_specialty_match,agent_past_success,agent_avg_handling_time,agent_current_workload,time_of_day,day_of_week,queue_length,success_label,source,original_text
1,1,0.324,0,3.847043472375721,0.9394222440141089,0.7135812309439122,2.9154273442956513,0.22124674992637516,12,2,10,1,banking77,I'd prefer Mastercard.
0,2,0.6361122604065204,1,4.5754563520146885,0.4430825181591225,0.8404223439166971,4.407171668111573,0.149467561255628,9,1,8,1,synthetic,
2,2,0.16342735644537174,0,4.052419455418445,0.7835067738533831,0.7920144392134816,3.659664210807864,0.4041666505368229,12,0,14,1,synthetic,
1,1,0.33199999999999996,0,8.528179141554556,0.8484640829206299,0.8201766255328167,3.2858186465544588,0.47900032860975356,9,4,10,1,banking77,what is the word?
1,1,0.40007489436477534,0,3.119461457057447,0.7933327060278018,0.8084888791338325,7.404309642885396,0.10446389088420706,9,3,8,1,synthetic,
1,1,0.396,0,7.038909048093098,0.9736229635597303,0.9537076409503278,6.981874477549137,0.5622645273772563,9,4,9,1,bitext,I have a complaint about the service I'll help you with sales
1,1,0.35368544452150746,0,2.034940813619816,0.6537108342563634,0.501680679077363,5.08119639647102,0.5632658169745375,13,0,5,0,synthetic,
1,0,0.348,0,2.783417427890357,1.0,0.944260309412012,11.929193704804284,0.3244196565591475,18,5,3,1,banking77,My beneficiary didn't receive my transfer
1,1,0.348,0,8.938201739840917,0.9175532670086238,0.9148257216101445,4.0446661563454915,0.19451228692341174,15,2,0,1,banking77,Please tell me about disposable cards.
1,0,0.7024360170982764,0,1.997729378958857,0.6324830468860555,0.740190839572305,8.442054723688743,0.15447916296682138,9,3,7,1,synthetic,
1,1,0.5640000000000001,0,3.8194490536670282,0.9372866592057603,0.9204104267202099,3.096642649337543,0.4060338784198752,11,5,10,1,banking77,I tried to top up with my card but it's not working. I had just done this a couple days previously a
1,0,0.1697381403176289,0,4.311373148834439,0.6215428050085195,0.8716499826397693,11.481491370434226,0.414643485076102,12,5,15,1,synthetic,
1,2,0.42,0,3.2759172369050527,0.8180655343738892,0.9002183741577755,15.068526894846935,0.39297168728135434,18,1,6,1,banking77,What is the cause of the delay in applying my card payment to my account?
1,2,0.372,0,4.2946142519626225,0.8602753263515629,0.8804046763769509,7.5387135028787124,0.3079691836730058,12,5,10,1,banking77,An extra fee of €1 was in my statement
1,1,0.396,0,1.1581411945780857,0.9577935995816224,0.974892581008171,2.3187607618348034,0.679145456633696,15,5,3,1,banking77,I did not get the right amount of cash from the ATM.
0,2,0.6829119307684538,1,2.4366989256487193,0.7568562606556509,0.8556030057989333,0.8797755253485416,0.34726370185398975,12,4,15,0,synthetic,
1,1,0.504,0,2.84955783453877,0.7801495139076771,0.9461266220298404,11.417148985783012,0.31589389335115853,12,3,10,1,bitext,I need help with my account settings I'll help you with technical support
1,2,0.388,0,3.485610620653425,0.825887451367116,0.9016148740464177,8.742046465016951,0.34879675139694616,11,2,0,0,banking77,Can you tell me what this fee is on my statement?
0,2,0.3739043613623998,1,2.7427007064493965,0.840162637751046,0.8290124639927541,5.6960707999918485,0.23100481521499505,12,5,0,1,synthetic,
1,1,0.4503043905093502,0,2.3943606179163486,0.5805618397568044,0.9279292247665434,3.5338926919693874,0.20590884996323863,15,2,11,1,synthetic,
1,1,0.31610039783754124,0,1.3355348861267975,0.7221399088190532,0.8325383985787076,4.606131929316609,0.5037257833866924,18,4,9,1,synthetic,
2,2,0.1992120880409024,0,1.391869250136952,0.6654152750152326,0.7712343817951206,4.293314720386303,0.2755391662989491,9,5,0,1,synthetic,
1,1,0.372,0,3.9375206715012303,0.841839089495483,0.9231944922742062,4.58732550656387,0.15339666009965924,18,1,1,1,bitext,My payment was declined I'll help you with sales
1,2,0.372,0,2.134394648833359,0.9571651611466971,0.943384313751444,5.3495485527919655,0.2628558173704944,10,3,7,1,banking77,I can't see my top up in my wallet!
1,2,0.33999999999999997,0,3.8292136602182505,0.872548056207009,0.9372241722132323,2.01993890023376,0.4091167363033247,17,5,10,1,banking77,Where do I top up?
2,2,0.5464449761808546,0,1.7985425381921525,0.4781017390850885,0.8150691603327006,6.375626246095124,0.29719516694396864,12,3,14,1,synthetic,
1,1,0.356,0,10.957529234718917,1.0,0.8201785580707245,13.508351552389911,0.49189149235249074,16,3,2,1,banking77,Is there a reason my transfer failed?
1,1,0.356,0,4.626395856244744,0.8321037633466059,0.864733240067136,5.580729156744214,0.10064139119520464,11,4,0,1,banking77,I need mastercard as well as visa
1,2,0.38,0,9.635912077618096,0.9393937745055312,0.8447901944027202,0.6914587831461337,0.13646551163628384,13,2,3,0,banking77,I have an incorrect charge and would like a refund.
1,2,0.7,0,2.372647678598067,0.8032305851486085,0.927234040992731,5.105829422751148,0.3619654683686455,13,5,5,1,banking77,"I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time the"
1,1,0.348,0,6.026158439140708,0.8294133290256781,0.9568844627251807,1.837327272602362,0.6023740682324991,13,0,6,1,banking77,Can I edit my personal details?
0,1,0.37896439236842866,0,1.5553409628684813,0.7926996021094792,0.7187905228606861,3.2262864010602406,0.6411182911311556,9,3,8,1,synthetic,
